,,,,,Heat Vulnerability Index : Summarize,,
Topic: Environment,,,,,,,
Subtopic: Climate,,,,,,,
Indicator Name: Heat Vulnerability Index,,,,,,,
Indicator Description: <p><span>The New York City (NYC) Heat Vulnerability Index (HVI) is a measure of how the risk of heat-related illness or death differs across neighborhoods. Neighborhood risk factors that increase heat- vulnerability in NYC are: less home air conditioning less green space hotter surface temperatures and more residents who are low-income or non-Latinx Black. Differences in these risk factors across neighborhoods are rooted in past and present racism.&nbsp;</span></p>,,,,,,,
,,,,,,,
Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,DataValue,Notes Score
2018,Neighborhood (Community District),Brooklyn, Bay Ridge and Dyker Heights (CD10),310,Heat Vulnerability Index,1,
2018,Neighborhood (Community District),Queens, Bayside and Little Neck (CD11),411,Heat Vulnerability Index,1,
2018,Neighborhood (Community District),Brooklyn, Bedford Stuyvesant (CD3),303,Heat Vulnerability Index,5,
2018,Neighborhood (Community District),Bronx, Belmont and East Tremont (CD6),206,Heat Vulnerability Index,5,
2018,Neighborhood (Community District),Brooklyn, Bensonhurst (CD11),311,Heat Vulnerability Index,2,
2018,Neighborhood (Community District),Brooklyn, Borough Park (CD12),312,Heat Vulnerability Index,4,
2018,Neighborhood (Community District),Brooklyn, Brownsville (CD16),316,Heat Vulnerability Index,5,
2018,Neighborhood (Community District),Brooklyn, Bushwick (CD4),304,Heat Vulnerability Index,4,
2018,Neighborhood (Community District),Manhattan, Central Harlem (CD10),110,Heat Vulnerability Index,5,
2018,Neighborhood (Community District),Manhattan, Clinton and Chelsea (CD4),104,Heat Vulnerability Index,2,
2018,Neighborhood (Community District),Brooklyn, Coney Island (CD13),313,Heat Vulnerability Index,3,
2018,Neighborhood (Community District),Brooklyn, Crown Heights and Prospect Heights (CD8),308,Heat Vulnerability Index,4,
2018,Neighborhood (Community District),Brooklyn, East Flatbush (CD17),317,Heat Vulnerability Index,5,
2018,Neighborhood (Community District),Manhattan, East Harlem (CD11),111,Heat Vulnerability Index,4,
2018,Neighborhood (Community District),Brooklyn, East New York and Starrett City (CD5),305,Heat Vulnerability Index,5,
2018,Neighborhood (Community District),Queens, Elmhurst and Corona (CD4),404,Heat Vulnerability Index,4,
2018,Neighborhood (Community District),Manhattan, Financial District (CD1),101,Heat Vulnerability Index,1,
2018,Neighborhood (Community District),Brooklyn, Flatbush and Midwood (CD14),314,Heat Vulnerability Index,4,
2018,Neighborhood (Community District),Brooklyn, Flatlands and Canarsie (CD18),318,Heat Vulnerability Index,3,
2018,Neighborhood (Community District),Queens, Flushing and Whitestone (CD7),407,Heat Vulnerability Index,2,
2018,Neighborhood (Community District),Bronx, Fordham and University Heights (CD5),205,Heat Vulnerability Index,5,
2018,Neighborhood (Community District),Brooklyn, Fort Greene and Brooklyn Heights (CD2),302,Heat Vulnerability Index,3,
2018,Neighborhood (Community District),Brooklyn, Greenpoint and Williamsburg (CD1),301,Heat Vulnerability Index,4,
2018,Neighborhood (Community District),Manhattan, Greenwich Village and Soho (CD2),102,Heat Vulnerability Index,2,
2018,Neighborhood (Community District),Bronx, Highbridge and Concourse (CD4),204,Heat Vulnerability Index,5,
2018,Neighborhood (Community District),Queens, Hillcrest and Fresh Meadows (CD8),408,Heat Vulnerability Index,1,
2018,Neighborhood (Community District),Bronx, Hunts Point and Longwood (CD2),202,Heat Vulnerability Index,5,
2018,Neighborhood (Community District),Queens, Jackson Heights (CD3),403,Heat Vulnerability Index,3,
2018,Neighborhood (Community District),Queens, Jamaica and Hollis (CD12),412,Heat Vulnerability Index,5,
2018,Neighborhood (Community District),Queens, Kew Gardens and Woodhaven (CD9),409,Heat Vulnerability Index,4,
2018,Neighborhood (Community District),Bronx, Kingsbridge Heights and Bedford (CD7),207,Heat Vulnerability Index,4,
2018,Neighborhood (Community District),Queens, Long Island City and Astoria (CD1),401,Heat Vulnerability Index,2,
2018,Neighborhood (Community District),Manhattan, Lower East Side and Chinatown (CD3),103,Heat Vulnerability Index,3,
2018,Neighborhood (Community District),Manhattan, Midtown (CD5),105,Heat Vulnerability Index,3,
2018,Neighborhood (Community District),Manhattan, Morningside Heights and Hamilton Heights (CD9),109,Heat Vulnerability Index,3,
2018,Neighborhood (Community District),Bronx, Morris Park and Bronxdale (CD11),211,Heat Vulnerability Index,4,
2018,Neighborhood (Community District),Bronx, Morrisania and Crotona (CD3),203,Heat Vulnerability Index,5,
2018,Neighborhood (Community District),Bronx, Mott Haven and Melrose (CD1),201,Heat Vulnerability Index,5,
2018,Neighborhood (Community District),Brooklyn, Park Slope and Carroll Gardens (CD6),306,Heat Vulnerability Index,2,
2018,Neighborhood (Community District),Bronx, Parkchester and Soundview (CD9),209,Heat Vulnerability Index,4,
2018,Neighborhood (Community District),Queens, Queens Village (CD13),413,Heat Vulnerability Index,3,
2018,Neighborhood (Community District),Queens, Rego Park and Forest Hills (CD6),406,Heat Vulnerability Index,1,
2018,Neighborhood (Community District),Queens, Ridgewood and Maspeth (CD5),405,Heat Vulnerability Index,1,
2018,Neighborhood (Community District),Bronx, Riverdale and Fieldston (CD8),208,Heat Vulnerability Index,1,
2018,Neighborhood (Community District),Queens, Rockaway and Broad Channel (CD14),414,Heat Vulnerability Index,3,
2018,Neighborhood (Community District),Brooklyn, Sheepshead Bay (CD15),315,Heat Vulnerability Index,2,
2018,Neighborhood (Community District),Staten Island, South Beach and Willowbrook (CD2),502,Heat Vulnerability Index,1,
2018,Neighborhood (Community District),Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,Heat Vulnerability Index,4,
2018,Neighborhood (Community District),Queens, South Ozone Park and Howard Beach (CD10),410,Heat Vulnerability Index,2,
2018,Neighborhood (Community District),Staten Island, St. George and Stapleton (CD1),501,Heat Vulnerability Index,2,
2018,Neighborhood (Community District),Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,Heat Vulnerability Index,2,
2018,Neighborhood (Community District),Brooklyn, Sunset Park (CD7),307,Heat Vulnerability Index,2,
2018,Neighborhood (Community District),Bronx, Throgs Neck and Co-op City (CD10),210,Heat Vulnerability Index,2,
2018,Neighborhood (Community District),Staten Island, Tottenville and Great Kills (CD3),503,Heat Vulnerability Index,1,
2018,Neighborhood (Community District),Manhattan, Upper East Side (CD8),108,Heat Vulnerability Index,1,
2018,Neighborhood (Community District),Manhattan, Upper West Side (CD7),107,Heat Vulnerability Index,1,
2018,Neighborhood (Community District),Manhattan, Washington Heights and Inwood (CD12),112,Heat Vulnerability Index,1,
2018,Neighborhood (Community District),Bronx, Williamsbridge and Baychester (CD12),212,Heat Vulnerability Index,3,
2018,Neighborhood (Community District),Queens, Woodside and Sunnyside (CD2),402,Heat Vulnerability Index,3,
,,,,,,,
Name:Heat Vulnerability Index,Measure:Score (Lowest 1  -  Highest 5),How Calculated:<p>Each neighborhood receives a score from 1 (lowest risk) to 5 (highest risk) based on a statistical model that uses social and environmental factors to estimate risk of heat-related death across NYC neighborhoods.&nbsp;<strong>A low vulnerability score does not mean no risk</strong>.&nbsp;Every neighborhood has residents at risk for heat illness and death. Residents who are at highest heat risk are those who do not have or use air conditioning&nbsp;<strong>AND</strong>&nbsp;are older or have chronic health conditions or serious mental illnesses.</p>,,,,,
<p>&nbsp;</p>,,,,,,,
"<p>To learn more about the HVI calculations visit the&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/EPHTPDF/HVI_FAQ.pdf"">HVI FAQ</a>.</p>",,,,,,,
<p>&nbsp;</p>,,,,,,,
"<p>Visit&nbsp;<a href=""http://www.nyc.gov/health/heat"">www.nyc.gov/health/heat</a>&nbsp;for more information about heat illness and how to prevent it.&nbsp;<a href=""https://www.health.ny.gov/environmental/weather/vulnerability_index/index.htm"">NYS has its own HVI information</a>.</p>",Source(s):American Community Survey (201 New York City Department of Pa U. S. Geological Survey LandSa United States Census Housing a,Year:2018,,,,,
,,,,,,,
NYC Department of Health and Mental Hygiene,,,,,,,
Environment & Health Data Portal,,,,,,,
More information can be found at: http://nyc.gov/health/tracking,,,,,,,
Accessed 03/24/2021,,,,,,,
